!!SBtab TableID='t_25' SBtabVersion='1.1' TableType='Definition' TableTitle='Definitions of Columns'
!ComponentName	!ComponentType	!IsPartOf	!Format	!Description
ID	Column	Reaction	String	Reaction short name
Name	Column	Reaction	String	Human readable name of the reaction
ReactionFormula	Column	Reaction	String	Formal description of the reaction
IsReversible	Column	Reaction	Boolean	Specify if the reaction should be treated as reversible. YES means the reactions is reversible, FALSE means it is irreversible
GeneAssociation	Column	Reaction	String	Logic expression describing the influence of genes on the reaction fluxes. Its form should be: (gene1) and/or (gene2). The ID should be value of the the !ID field from the Gene table.
Group	Column	Reaction	String	Groups in which the reaction belong, for instance pathways (but not limited to). Several groups should be separated by <U+0093>;<U+0094>
Pathway	Column	Reaction	String	Pathways in which the reaction is involved, separated with <U+0093>;<U+0094>. Will become KEGG PATHWAY identifiers at some point
Identifiers:kegg.reaction	Column	Reaction	String	Cross-references to KEGG reactions. Several cross-ref should be separated by <U+0093>;<U+0094>
Identifiers:pubmed	Column	Reaction	String	Cross-references to PubMed. Only put the numerical identifier is included, no prefix such as <U+0093>PMID:<U+0094>. Several cross-ref should be separated by <U+0093>;<U+0094>
Identifiers:DOI	Column	Reaction	String	Digital Object Identifiers linking to a source of information. Only the identifier is included, no prefix such as <U+0093>DOI:<U+0094>. Several cross-ref should be separated by <U+0093>;<U+0094>
Identifiers:eco	Column	Reaction	String	Cross-reference to terms from the Evidence Ontology.  Note that the prefix <U+0091>ECO:<U+0092> is part of ECO identifiers.
Comment	Column	Reaction	String	Any free form comment about the row
Curator	Column	Reaction	String	The identifier of the Curator. The details are in the Curator table
ID	Column	Gene	String	Gene short name, to be used for the GeneAssociation in the reaction tables
Identifiers:WormBase	Column	Gene	String	Gene id in Wormbase. Generally of the form <U+0093>WBGene<U+0094> followed by several digits
Symbol	Column	Gene	String	Standard gene symbol
Locus	Column	Gene	String	Alternative gene ID, corresponding to the locus. Generally a letter followed by a few digits, a dot, and a digit.
Name	Column	Gene	String	Human readable name of the gene. It should be the symbol if it exists, the locus ID otherwise
GO_process	Column	Gene	String	Cross-references to Gene Ontology biological process branch. Note that the prefix <U+0091>GO:<U+0092> is part of Gene Ontology identifiers. Several cross-ref should be separated by <U+0093>;<U+0094>
